"","","","song_title"
"47","SCETTYB105","Namak Haram","Chal rahi chal,Gore rang pai ,Mera Juta Hai Jawani,Aachal ke tuze,Dekho idhar Dekho,Chal rahi chal,Gore rang pai ,Mera Juta Hai Jawani,Aachal ke tuze,Dekho idhar Dekho,Chal rahi chal,Gore rang pai ,Mera Juta Hai Jawani,Aachal ke tuze,Dekho idhar Dekho,Mera Juta Hai Jawani,Chal rahi chal,Aachal ke tuze,Chal rahi chal,Mera Juta Hai Jawani,Mera Juta Hai Jawani,Mera Juta Hai Jawani,Chal rahi chal,Aachal ke tuze,Chal rahi chal,Mera Juta Hai Jawani,Aachal ke tuze"
"48","SCETTYB105","Om Shanti Om","Deewani ,Deewani ,Deewani ,Deewani ,Deewani ,Deewani ,Deewani ,Deewani ,Deewani ,Deewani "
"49","SCETTYB106","Agent Vinod ","Aa Dekhe jara"
"50","SCETTYB106","Devdas","Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole"
"51","SCETTYB106","Mohmad Rafi","Ek din bit jayega,Ek din bit jayega,Hum to apke diwane,Hum to apke diwane,Hum to apke diwane,Hum to apke diwane"
"52","SCETTYB106","Namak Haram","Dekho idhar Dekho,Dekho idhar Dekho,Mera Juta Hai Jawani,Dekho idhar Dekho,Dekho idhar Dekho,Mera Juta Hai Jawani,Dekho idhar Dekho,Dekho idhar Dekho,Mera Juta Hai Jawani,Dekho idhar Dekho,Dekho idhar Dekho,Gore rang pai ,Aachal ke tuze,Gore rang pai ,Chal rahi chal,Gore rang pai ,Dekho idhar Dekho,Gore rang pai ,Dekho idhar Dekho,Gore rang pai ,Aachal ke tuze,Gore rang pai ,Mera Juta Hai Jawani,Aachal ke tuze,Chal rahi chal,Gore rang pai ,Mera Juta Hai Jawani,Dekho idhar Dekho"
"53","SCETTYB106","Om Shanti Om","Deewani ,Deewani "
"54","SCETTYB107","Aaja Nachle","Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare"
"55","SCETTYB107","Agent Vinod ","Raabta,Raabta"
"56","SCETTYB107","Border","Sandese Aate Hai ,Sandese Aate Hai ,Sandese Aate Hai "
"57","SCETTYB107","Deewana","Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi"
"58","SCETTYB107","Gunday","Ashlam-e-Ishqum"
"59","SCETTYB107","Highway","Kabhi is tarah,Maahi,Maahi,Maahi"
"60","SCETTYB107","Jab Tak Hai Jaan ","Saans Me Teri "
"61","SCETTYB107","Mohmad Rafi","Khoya khoya chand "
"62","SCETTYB107","Om Shanti Om","Om Shanti Om,Om Shanti Om,Om Shanti Om,Om Shanti Om,Om Shanti Om,Om Shanti Om,Om Shanti Om,Om Shanti Om"
"63","SCETTYB107","Rockstar","Jo Bhi Main,Naadaan Parindey,Hawa Hawaa,Ye Khuda,Hawa Hawaa,Jo Bhi Main,Naadaan Parindey,Hawa Hawaa,Ye Khuda,Hawa Hawaa,Hawa Hawaa,Naadaan Parindey,Ye Khuda,Naadaan Parindey,Hawa Hawaa,Ye Khuda"
"64","SCETTYB107","Singh Is King","Jee Karda,Jee Karda"
"65","SCETTYB108","","Chidiya Rani,Chidiya Rani,Nachare Mora,Chidiya Rani,Chidiya Rani,Nachare Mora,Chidiya Rani,Chidiya Rani,Nachare Mora,Nani teri morni,Aai ekti ekti ghabrlis na,Angai Geet,Gori Gori Pan,Agobai dhagobai,Chidiya Rani,Nachare Mora,Chidiya Rani,Agobai dhagobai,Agobai dhagobai,Nani teri morni,Aai ekti ekti ghabrlis na,Angai Geet,Gori Gori Pan,Agobai dhagobai,Chidiya Rani,Nachare Mora,Chidiya Rani,Agobai dhagobai,Agobai dhagobai,Nani teri morni,Aai ekti ekti ghabrlis na,Angai Geet,Gori Gori Pan,Nani teri morni,Sang Sang Bolanath,Chandoba Chandoba,Agobai dhagobai,Gori Gori Pan,Nachare Mora,Chidiya Rani,Sang Sang Bolanath,Agobai dhagobai,Sang Sang Bolanath,Angai Geet,Sang Sang Bolanath,Aai ekti ekti ghabrlis na,Agobai dhagobai,Gori Gori Pan,Angai Geet,Agobai dhagobai,Chidiya Rani,Nani teri morni,Chandoba Chandoba,Aai ekti ekti ghabrlis na,Agobai dhagobai,Gori Gori Pan,Nani teri morni"
"66","SCETTYB109","","Agobai dhagobai,Gori Gori Pan,Nachare Mora,Chidiya Rani,Sang Sang Bolanath,Chandoba Chandoba,Agobai dhagobai,Nachare Mora,Chidiya Rani,Angai Geet,Angai Geet,Angai Geet,Agobai dhagobai,Gori Gori Pan,Nachare Mora,Chidiya Rani,Sang Sang Bolanath,Chandoba Chandoba,Agobai dhagobai,Nachare Mora,Chidiya Rani,Angai Geet,Angai Geet,Angai Geet,Agobai dhagobai,Gori Gori Pan,Nachare Mora,Chidiya Rani,Sang Sang Bolanath,Chandoba Chandoba,Agobai dhagobai,Nachare Mora,Chidiya Rani,Aai ekti ekti ghabrlis na,Angai Geet,Nani teri morni,Chandoba Chandoba,Aai ekti ekti ghabrlis na,Angai Geet,Gori Gori Pan,Nachare Mora,Chidiya Rani,Nani teri morni,Chandoba Chandoba,Aai ekti ekti ghabrlis na,Agobai dhagobai,Gori Gori Pan,Nachare Mora,Chidiya Rani,Nani teri morni,Chandoba Chandoba,Angai Geet,Nachare Mora,Chidiya Rani,Nani teri morni,Sang Sang Bolanath,Chandoba Chandoba,Aai ekti ekti ghabrlis na,Gori Gori Pan,Nachare Mora,Sang Sang Bolanath,Angai Geet,Nachare Mora,Chidiya Rani"
